Encore Halloween Harvest 2024 Items,,,,,All ," 635,222 "," 868,061 "," 498,786 "," 260,202 ", -   ," 2,262,271 ",,," $2,231,408 "," $3,155,884 "," $1,758,065 "," $1,009,134 ", $-   ," $8,154,490 "," $1,059,357 "," $1,501,090 "," $834,456 "," $491,695 ", $-   ," $3,886,599 ",,,
00004152020485, SL Hal Stnd Chrctr Dcr , Décor , Halloween ,Halloween Harvest 2024,Zest," 1,524 "," 3,888 ", -   , -   , -   ," 5,412 ", $5.02 , $9.99 ," $15,225 "," $38,841 ", $-   , $-   , $-   ," $54,066 "," $7,650 "," $19,518 ", $-   , $-   , $-   ," $27,168 ", Outdoor Décor , Import ,
00004152020486, SL Hal LED Ghost Dcr , Décor , Halloween ,Halloween Harvest 2024,Gibo, -   ," 1,200 ", 960 , -   , -   ," 2,160 ", $6.29 , $11.99 , $-   ," $14,388 "," $11,510 ", $-   , $-   ," $25,898 ", $-   ," $7,548 "," $6,038 ", $-   , $-   ," $13,586 ", Table and Mantle Décor , Import ,
00004152020487,  SL Hal LU Cr Jk O Lntn , Décor , Halloween ,Halloween Harvest 2024,Zest," 1,380 ", 540 , 984 ," 1,332 ", -   ," 4,236 ", $2.50 , $4.99 ," $6,886 "," $2,695 "," $4,910 "," $6,647 ", $-   ," $21,138 "," $3,450 "," $1,350 "," $2,460 "," $3,330 ", $-   ," $10,590 ", Lighted Pumpkin and Skull , Import ,
00004152020488,  SL Hal Jack O Lntrn Lt , Décor , Halloween ,Halloween Harvest 2024,Zest," 2,388 "," 3,576 "," 2,004 ", -   , -   ," 7,968 ", $2.50 , $4.99 ," $11,916 "," $17,844 "," $10,000 ", $-   , $-   ," $39,760 "," $5,970 "," $8,940 "," $5,010 ", $-   , $-   ," $19,920 ", Lighted Pumpkin and Skull , Import ,
00004152020489, SL Hal Cer pmpkn W Lts , Décor , Halloween ,Halloween Harvest 2024,Zest, 840 , -   , 876 , -   , -   ," 1,716 ", $3.02 , $5.99 ," $5,032 ", $-   ," $5,247 ", $-   , $-   ," $10,279 "," $2,537 ", $-   ," $2,646 ", $-   , $-   ," $5,182 ", Lighted Pumpkin and Skull , Import ,
00004152020490, SL Hal LU Cer Ghosts , Décor , Halloween ,Halloween Harvest 2024,Zest, 462 , 852 , 780 , 648 , -   ," 2,742 ", $3.59 , $6.99 ," $3,229 "," $5,955 "," $5,452 "," $4,530 ", $-   ," $19,167 "," $1,659 "," $3,059 "," $2,800 "," $2,326 ", $-   ," $9,844 ", Table and Mantle Décor , Import ,
00004152020491, SL  Hal Pumpkin , Décor , Halloween ,Halloween Harvest 2024,Global, 296 , 600 , 304 , -   , -   ," 1,200 ", $5.67 , $10.99 ," $3,253 "," $6,594 "," $3,341 ", $-   , $-   ," $13,188 "," $1,678 "," $3,402 "," $1,724 ", $-   , $-   ," $6,804 ", Table and Mantle Décor , Import ,
00004152020492, SL Hal LED Cutout Lntrn , Décor , Halloween ,Halloween Harvest 2024,Decra Lite, 912 ," 1,200 ", 684 , -   , -   ," 2,796 ", $2.51 , $4.99 ," $4,551 "," $5,988 "," $3,413 ", $-   , $-   ," $13,952 "," $2,289 "," $3,012 "," $1,717 ", $-   , $-   ," $7,018 ", Candle & Lights , Import ,
00004152020493, SL Hal LED Spooky Cndle , Décor , Halloween ,Halloween Harvest 2024,Decra Lite, 666 ," 1,125 ", 738 , -   , -   ," 2,529 ", $4.53 , $8.99 ," $5,987 "," $10,114 "," $6,635 ", $-   , $-   ," $22,736 "," $3,017 "," $5,096 "," $3,343 ", $-   , $-   ," $11,456 ", Candle & Lights , Import ,
00004152020494,  SL Hal 2 Ast Clr Lntrn , Décor , Halloween ,Halloween Harvest 2024,CTM, 732 , 756 , 540 , -   , -   ," 2,028 ", $5.80 , $11.99 ," $8,777 "," $9,064 "," $6,475 ", $-   , $-   ," $24,316 "," $4,246 "," $4,385 "," $3,132 ", $-   , $-   ," $11,762 ", Candle & Lights , Import ,
00004152020495,  SL Hal Spder Lght Hldr , Décor , Halloween ,Halloween Harvest 2024,Gibo, 900 ," 1,200 ", 540 , -   , -   ," 2,640 ", $1.59 , $3.29 ," $2,961 "," $3,948 "," $1,777 ", $-   , $-   ," $8,686 "," $1,431 "," $1,908 ", $859 , $-   , $-   ," $4,198 ", Table and Mantle Décor , Import ,
00004152020496, SL HAL 12X12 ICN GL CLG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello," 4,770 "," 1,656 "," 1,074 "," 3,204 ", -   ," 10,704 ", $1.60 , $2.99 ," $14,262 "," $4,951 "," $3,211 "," $9,580 ", $-   ," $32,005 "," $7,632 "," $2,650 "," $1,718 "," $5,126 ", $-   ," $17,126 ", Window Décor , Import ,Shipped on 00004152020499
00004152020497, SL HAL 12X12 GLY GL CLG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello," 4,770 "," 1,656 "," 1,074 "," 3,204 ", -   ," 10,704 ", $1.60 , $2.99 ," $14,262 "," $4,951 "," $3,211 "," $9,580 ", $-   ," $32,005 "," $7,632 "," $2,650 "," $1,718 "," $5,126 ", $-   ," $17,126 ", Window Décor , Import ,Shipped on 00004152020500
00004152020498, SL HAL 12X12 HPY GL CLG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello," 4,770 "," 1,656 "," 1,074 "," 3,204 ", -   ," 10,704 ", $1.60 , $2.99 ," $14,262 "," $4,951 "," $3,211 "," $9,580 ", $-   ," $32,005 "," $7,632 "," $2,650 "," $1,718 "," $5,126 ", $-   ," $17,126 ", Window Décor , Import ,Shipped on 00004152020501
00004152020502, SL Hal Ghs Cdrn GL CLNG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 462 , 324 , -   , -   , -   , 786 , $1.69 , $3.49 ," $1,612 "," $1,131 ", $-   , $-   , $-   ," $2,743 ", $781 , $548 , $-   , $-   , $-   ," $1,328 ", Window Décor , Import ,
00004152020503, SL HAL Ggly eye Clng , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 462 , 324 , -   , -   , -   , 786 , $1.69 , $3.49 ," $1,612 "," $1,131 ", $-   , $-   , $-   ," $2,743 ", $781 , $548 , $-   , $-   , $-   ," $1,328 ", Window Décor , Import ,
00004152020505, SL HAL 6X12 HP GL Cling , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 510 ," 1,404 "," 1,020 ", 606 , -   ," 3,540 ", $0.75 , $1.49 , $760 ," $2,092 "," $1,520 ", $903 , $-   ," $5,275 ", $383 ," $1,053 ", $765 , $455 , $-   ," $2,655 ", Window Décor , Import ,
00004152020506, SL HAL 6X12 BOO GL CLNG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 510 ," 1,404 "," 1,020 ", 606 , -   ," 3,540 ", $0.75 , $1.49 , $760 ," $2,092 "," $1,520 ", $903 , $-   ," $5,275 ", $383 ," $1,053 ", $765 , $455 , $-   ," $2,655 ", Window Décor , Import ,
00004152020507, SL HAL 6X12 SKL GL CLNG , Décor , Halloween ,Halloween Harvest 2024,Mello Smello, 510 ," 1,404 "," 1,020 ", 606 , -   ," 3,540 ", $0.75 , $1.49 , $760 ," $2,092 "," $1,520 ", $903 , $-   ," $5,275 ", $383 ," $1,053 ", $765 , $455 , $-   ," $2,655 ", Window Décor , Import ,
